"Autosampler.Position","Species.ID","Tree.ID","Lab.No","Lab.ID","FID.File","FID.Date","FID.Time","FID.Channel.CH4","Certified.Value.CO2...10","CH4.Area","CH4.ppm","CH4.Unit","FID.Channel.CO2","Certified.Value.CO2...15","CO2.Area","CO2.ppm","CO2.Unit","ECD.File","ECD.Date","ECD.Time","ECD.Channel.O2","Certified.Value.O2","O2.Area","O2.ppm","ECD.Channel.N2O","Certified.Value.N2O","N2O.Area","N2O.ppm","N2O.Unit","CO2_concentration","CH4_concentration","N2O_concentration","O2_concentration"
17,"SB3","NA",307,"Std 117","F220930s307.CHR",2022-10-03,1899-12-31 12:35:04,"CH4",1.41,4.3675,19.2083,"ppm","CO2",1.966,563.3848,1872.5668,"ppm","E220930s307.CHR",2022-10-03,1899-12-31 12:35:04,"O2",1.16,3264.3742,140433.8536,"N2O",2.283,138.792,0.3701,"ppm",1963.50386493918,1.29614658824061,0.509524478346418,163777.67993597
18,"Lab Air Blank","NA",308,"Std 118","F220930s308.CHR",2022-10-03,1899-12-31 12:40:28,"CH4",1.42,0.344,1.8058,"ppm","CO2",1.976,94.5634,139.9218,"ppm","E220930s308.CHR",2022-10-03,1899-12-31 12:40:28,"O2",1.166,3069.6863,121313.803,"N2O",2.3,57.8175,0.0382,"ppm",224.487009300602,0,0.195076718511876,143171.178616347
19,"SB4","NA",309,"Std 119","F220930s309.CHR",2022-10-03,1899-12-31 12:45:52,"CH4",1.413,46.5869,201.8165,"ppm","CO2",1.973,1427.5335,5066.2413,"ppm","E220930s309.CHR",2022-10-03,1899-12-31 12:45:52,"O2",1.16,3523.7632,174714.6408,"N2O",2.286,665.6714,2.5297,"ppm",5221.72360056817,186.775474709552,2.56993161739349,193110.392134294
20,"Lab Air Blank","NA",310,"Std 120","F220930s310.CHR",2022-10-03,1899-12-31 12:51:15,"CH4",1.41,0.3953,2.0277,"ppm","CO2",1.966,103.4146,172.6336,"ppm","E220930s310.CHR",2022-10-03,1899-12-31 12:51:15,"O2",1.156,3166.4354,130378.6793,"N2O",2.29,64.4689,0.0655,"ppm",257.132477387955,0,0.220883861630513,153260.384649912
21,"SB5","NA",311,"Std 121","F220930s311.CHR",2022-10-03,1899-12-31 12:56:38,"CH4",1.42,1164.5968,5037.4561,"ppm","CO2",1.99,2729.0638,9876.3673,"ppm","E220930s311.CHR",2022-10-03,1899-12-31 12:56:38,"O2",1.163,3646.9352,192879.8938,"N2O",2.3,1298.6855,5.1244,"ppm",10258.2682159076,5312.07985391979,5.07835401930922,207790.483782427
22,"Lab Air Blank","NA",312,"Std 122","F220930s312.CHR",2022-10-03,1899-12-31 13:02:01,"CH4",1.413,2.9539,13.0942,"ppm","CO2",1.966,107.2066,186.6479,"ppm","E220930s312.CHR",2022-10-03,1899-12-31 13:02:01,"O2",1.156,3093.3515,123473.4173,"N2O",2.286,64.5318,0.0657,"ppm",271.120531734137,0,0.221127929860982,145611.460005852
23,"SB6","NA",313,"Std 123","F220930s313.CHR",2022-10-03,1899-12-31 13:07:24,"CH4",1.403,10319.3935,44633.9723,"ppm","CO2",1.98,12025.6731,44234.2781,"ppm","E220930s313.CHR",2022-10-03,1899-12-31 13:07:24,"O2",1.163,1154.3547,8910.3462,"N2O",2.3,4967.3582,20.1619,"ppm",50749.7508586911,62769.4309149943,20.324650790698,4883.79519792129
24,"Lab Air Blank","NA",314,"Std 124","F220930s314.CHR",2022-10-03,1899-12-31 13:12:48,"CH4",1.416,38.463,166.6789,"ppm","CO2",1.97,148.691,339.9637,"ppm","E220930s314.CHR",2022-10-03,1899-12-31 13:12:48,"O2",1.16,3016.785,116696.1103,"N2O",2.29,77.4348,0.1186,"ppm",424.2356476697,151.039734335489,0.27120241091748,137780.745374694
25,"Lab Air Blank","NA",315,"Std 125","F220930s315.CHR",2022-10-03,1899-12-31 13:18:11,"CH4",1.413,0.4966,2.4658,"ppm","CO2",1.97,108.487,191.3799,"ppm","E220930s315.CHR",2022-10-03,1899-12-31 13:18:11,"O2",1.16,3129.106,126740.9848,"N2O",2.293,63.6788,0.0622,"ppm",275.844011081947,0,0.217818100016377,149332.226962421
26,"Lab Air Blank","NA",316,"Std 126","F220930s316.CHR",2022-10-03,1899-12-31 13:23:34,"CH4",1.42,0.3124,1.6691,"ppm","CO2",1.976,86.3909,109.7183,"ppm","E220930s316.CHR",2022-10-03,1899-12-31 13:23:34,"O2",1.166,2869.032,104656.579,"N2O",2.3,53.1654,0.0191,"ppm",194.351136076525,0,0.177029133593342,123198.014705781
27,"Outdoor Air 1","NA",317,"Std 127","F220930s317.CHR",2022-10-03,1899-12-31 13:28:57,"CH4",0,0,0,"ppm","CO2",1.973,10.3259,0,"ppm","E220930s317.CHR",2022-10-03,1899-12-31 13:28:57,"O2",1.16,784.1505,0,"N2O",2.293,4.6651,0,"ppm",0,0,0,0
28,"Lab Air Blank","NA",318,"Std 128","F220930s318.CHR",2022-10-03,1899-12-31 13:34:21,"CH4",1.426,0.3607,1.878,"ppm","CO2",1.983,97.5766,151.0578,"ppm","E220930s318.CHR",2022-10-03,1899-12-31 13:34:21,"O2",1.17,3145.9016,128377.6911,"N2O",2.303,58.8997,0.0427,"ppm",235.599647962165,0,0.199275336902258,151094.122214298
29,"Outdoor Air 2","NA",319,"Std 129","F220930s319.CHR",2022-10-03,1899-12-31 13:39:44,"CH4",1.41,0.1629,1.0225,"ppm","CO2",1.97,54.5594,0,"ppm","E220930s319.CHR",2022-10-03,1899-12-31 13:39:44,"O2",1.156,1734.4616,35894.9569,"N2O",2.293,21.6128,0,"ppm",77.0317087107641,0,0.0546737204299064,34417.3446431655
30,"Lab Air Blank","NA",320,"Std 130","F220930s320.CHR",2022-10-03,1899-12-31 13:45:08,"CH4",1.41,0.4052,2.0705,"ppm","CO2",1.966,105.7148,181.1346,"ppm","E220930s320.CHR",2022-10-03,1899-12-31 13:45:08,"O2",1.16,3068.7097,121224.6814,"N2O",2.286,65.419,0.0694,"ppm",265.617373526696,0,0.22457053263753,143070.85839065
31,"Outdoor Air 3","NA",321,"Std 131","F220930s321.CHR",2022-10-03,1899-12-31 13:50:31,"CH4",1.406,0.2634,1.4572,"ppm","CO2",1.966,54.3256,0,"ppm","E220930s321.CHR",2022-10-03,1899-12-31 13:50:31,"O2",1.156,2168.2258,58844.4439,"N2O",2.29,29.943,0,"ppm",76.1703498863699,0,0.0869680799347586,63512.667176564
32,"Lab Air Blank","NA",322,"Std 132","F220930s322.CHR",2022-10-03,1899-12-31 13:55:54,"CH4",1.41,0.3284,1.7383,"ppm","CO2",1.966,88.414,117.1952,"ppm","E220930s322.CHR",2022-10-03,1899-12-31 13:55:54,"O2",1.156,2926.0484,109159.7721,"N2O",2.286,53.0814,0.0188,"ppm",201.810692467578,0,0.176703277735685,128742.854855189
33,"Outdoor Air 4","NA",323,"Std 133","F220930s323.CHR",2022-10-03,1899-12-31 14:01:18,"CH4",1.413,0.3191,1.6981,"ppm","CO2",1.966,76.5026,73.1737,"ppm","E220930s323.CHR",2022-10-03,1899-12-31 14:01:18,"O2",1.156,2566.8768,83130.6136,"N2O",2.29,45.0477,0,"ppm",157.896482946363,0,0.145541584382346,95543.8497273011
34,"Lab Air Blank","NA",324,"Std 134","F220930s324.CHR",2022-10-03,1899-12-31 14:06:42,"CH4",1.41,0.3926,2.016,"ppm","CO2",1.963,106.7978,185.1371,"ppm","E220930s324.CHR",2022-10-03,1899-12-31 14:06:42,"O2",1.156,3189.276,132604.4618,"N2O",2.283,62.5923,0.0578,"ppm",269.612473448963,0,0.213602332818673,155685.804809228
35,"Outdoor Air 5","NA",325,"Std 135","F220930s325.CHR",2022-10-03,1899-12-31 14:12:06,"CH4",1.41,0.4283,2.1704,"ppm","CO2",1.963,101.5818,165.86,"ppm","E220930s325.CHR",2022-10-03,1899-12-31 14:12:06,"O2",1.156,3038.759,118581.5937,"N2O",2.28,60.0575,0.0474,"ppm",250.372057007409,0,0.203767377550379,140008.97313236
36,"Lab Air Blank","NA",326,"Std 136","F220930s326.CHR",2022-10-03,1899-12-31 14:17:30,"CH4",1.416,0.3928,2.0169,"ppm","CO2",1.973,107.4804,187.6598,"ppm","E220930s326.CHR",2022-10-03,1899-12-31 14:17:30,"O2",1.166,3300.813,144542.2481,"N2O",2.293,65.8942,0.0713,"ppm",272.130585209352,0,0.226414480596166,167768.785488645
37,"Outdoor Air 6","NA",327,"Std 137","F220930s327.CHR",2022-10-03,1899-12-31 14:22:54,"CH4",1.42,0.4369,2.2076,"ppm","CO2",1.973,114.4376,213.3718,"ppm","E220930s327.CHR",2022-10-03,1899-12-31 14:22:54,"O2",1.166,3343.4483,149577.8045,"N2O",2.29,68.8321,0.0834,"ppm",297.798136063766,0,0.237815045943115,172492.34251903
38,"Lab Air Blank","NA",328,"Std 138","F220930s328.CHR",2022-10-03,1899-12-31 14:28:17,"CH4",1.41,0.354,1.849,"ppm","CO2",1.96,96.1701,145.8598,"ppm","E220930s328.CHR",2022-10-03,1899-12-31 14:28:17,"O2",1.16,3055.7973,120046.335,"N2O",2.276,57.4734,0.0368,"ppm",230.412392418413,0,0.193741733536258,141747.304965562
39,"Outdoor Air 7","NA",329,"Std 139","F220930s329.CHR",2022-10-03,1899-12-31 14:33:41,"CH4",1.423,0.5412,2.6587,"ppm","CO2",1.973,143.0805,319.2287,"ppm","E220930s329.CHR",2022-10-03,1899-12-31 14:33:41,"O2",1.17,3671.4819,196500.0105,"N2O",2.29,83.4996,0.1435,"ppm",403.518580795228,0,0.294744095579784,210773.86513915
40,"Lab Air Blank","NA",330,"Std 140","F220930s330.CHR",2022-10-03,1899-12-31 14:39:06,"CH4",1.406,0.3626,1.8862,"ppm","CO2",1.956,96.9434,148.7177,"ppm","E220930s330.CHR",2022-10-03,1899-12-31 14:39:06,"O2",1.156,3098.2126,123917.0266,"N2O",2.273,58.347,0.0404,"ppm",233.264346306241,0,0.19713100997149,146114.932463251
41,"Lab Air Blank","NA",331,"Std 141","F220930s331.CHR",2022-10-03,1899-12-31 14:44:30,"CH4",1.42,0.3501,1.8322,"ppm","CO2",1.966,98.5452,154.6375,"ppm","E220930s331.CHR",2022-10-03,1899-12-31 14:44:30,"O2",1.163,3204.9684,134191.9135,"N2O",2.283,60.0086,0.0472,"ppm",239.172007747463,0,0.20357765254903,157361.806197099
42,"Lab Air Blank","NA",332,"Std 142","F220930s332.CHR",2022-10-03,1899-12-31 14:49:54,"CH4",1.413,0.3102,1.6596,"ppm","CO2",1.96,76.3372,72.5624,"ppm","E220930s332.CHR",2022-10-03,1899-12-31 14:49:54,"O2",1.163,2821.8906,101043.3203,"N2O",2.276,43.8868,0,"ppm",157.286788064065,0,0.141039081225218,118691.808058662
43,"Oxygen Standard 1","NA",333,"Std 143","F220930s333.CHR",2022-10-03,1899-12-31 14:55:18,"CH4",0,0,0,"ppm","CO2",1.953,9.2998,0,"ppm","E220930s333.CHR",2022-10-03,1899-12-31 14:55:18,"O2",1.153,778.6739,0,"N2O",2.273,3.8502,0,"ppm",0,0,0,0
44,"Lab Air Blank","NA",334,"Std 144","F220930s334.CHR",2022-10-03,1899-12-31 15:00:42,"CH4",1.406,0.3834,1.9762,"ppm","CO2",1.956,97.3634,150.2699,"ppm","E220930s334.CHR",2022-10-03,1899-12-31 15:00:42,"O2",1.16,3082.3326,122467.866,"N2O",2.27,55.5249,0.0288,"ppm",234.81334203664,0,0.186182450745184,144473.003648282
45,"Oxygen Standard 2","NA",335,"Std 145","F220930s335.CHR",2022-10-03,1899-12-31 15:06:06,"CH4",0,0,0,"ppm","CO2",1.953,12.5372,0,"ppm","E220930s335.CHR",2022-10-03,1899-12-31 15:06:06,"O2",1.156,1563.3906,27546.6775,"N2O",2.25,4.8917,0,"ppm",0,0,0,24592.3150739164
46,"Lab Air Blank","NA",336,"Std 146","F220930s336.CHR",2022-10-03,1899-12-31 15:11:29,"CH4",1.41,0.3167,1.6877,"ppm","CO2",1.953,92.3874,131.8799,"ppm","E220930s336.CHR",2022-10-03,1899-12-31 15:11:29,"O2",1.156,2917.8162,108493.2265,"N2O",2.27,50.1446,0.0068,"ppm",216.46246990146,0,0.165311134598134,127935.870695846
47,"Oxygen Standard 3","NA",337,"Std 147","F220930s337.CHR",2022-10-03,1899-12-31 15:16:54,"CH4",0,0,0,"ppm","CO2",1.953,11.91,0,"ppm","E220930s337.CHR",2022-10-03,1899-12-31 15:16:54,"O2",1.16,2021.3342,50748.0182,"N2O",2.266,5.685,0,"ppm",0,0,0,52987.8189689714
48,"Lab Air Blank","NA",338,"Std 148","F220930s338.CHR",2022-10-03,1899-12-31 15:22:18,"CH4",1.41,0.3498,1.8309,"ppm","CO2",1.953,97.7596,151.7342,"ppm","E220930s338.CHR",2022-10-03,1899-12-31 15:22:18,"O2",1.16,3054.3616,119920.3778,"N2O",2.266,55.1229,0.0272,"ppm",236.274576165443,0,0.184622918276087,141600.470563345
49,"Oxygen Standard 4","NA",339,"Std 149","F220930s339.CHR",2022-10-03,1899-12-31 15:27:42,"CH4",0,0,0,"ppm","CO2",1.956,12.6108,0,"ppm","E220930s339.CHR",2022-10-03,1899-12-31 15:27:42,"O2",1.163,2721.2578,93667.9996,"N2O",2.27,6.7357,0,"ppm",0,0,0,109309.515540061
50,"Lab Air Blank","NA",340,"Std 150","F220930s340.CHR",2022-10-03,1899-12-31 15:33:06,"CH4",1.416,0.3775,1.9507,"ppm","CO2",1.96,101.1293,164.1877,"ppm","E220930s340.CHR",2022-10-03,1899-12-31 15:33:06,"O2",1.166,3147.3506,128518.894,"N2O",2.276,54.7781,0.0258,"ppm",248.703024191482,0,0.183285300993379,151246.547009916
51,"Oxygen Standard 5","NA",341,"Std 151","F220930s341.CHR",2022-10-03,1899-12-31 15:38:30,"CH4",0,0,0,"ppm","CO2",1.96,13.5151,0,"ppm","E220930s341.CHR",2022-10-03,1899-12-31 15:38:30,"O2",1.163,3285.2386,142786.2688,"N2O",2.266,7.0349,0,"ppm",0,0,0,166057.755709043
52,"Lab Air Blank","NA",342,"Std 152","F220930s342.CHR",2022-10-03,1899-12-31 15:43:55,"CH4",1.42,0.3002,1.6163,"ppm","CO2",1.966,93.4142,135.6747,"ppm","E220930s342.CHR",2022-10-03,1899-12-31 15:43:55,"O2",1.166,3099.5178,124036.1352,"N2O",2.283,53.5196,0.0206,"ppm",220.248995341268,0,0.178403166095309,146250.242590623
53,"Lab Air Blank","NA",343,"Std 153","F220930s343.CHR",2022-10-03,1899-12-31 15:49:19,"CH4",1.413,0.3444,1.8075,"ppm","CO2",1.96,99.8232,159.3607,"ppm","E220930s343.CHR",2022-10-03,1899-12-31 15:49:19,"O2",1.166,3105.1491,124550.0305,"N2O",2.273,57.7031,0.0377,"ppm",243.885618404109,0,0.194632886232895,146834.662471213
54,"Lab Air Blank","NA",344,"Std 154","F220930s344.CHR",2022-10-03,1899-12-31 15:54:44,"CH4",1.413,0.3606,1.8776,"ppm","CO2",1.96,95.5655,143.6253,"ppm","E220930s344.CHR",2022-10-03,1899-12-31 15:54:44,"O2",1.166,3036.9081,118422.7768,"N2O",2.276,54.4591,0.0244,"ppm",228.182647441513,0,0.182047781750382,139820.692595998
55,"FRAM","WA1",345,"345g","F220930s345.CHR",2022-10-03,1899-12-31 16:00:08,"CH4",1.41,0.7085,3.3823,"ppm","CO2",1.956,865.7486,2990.0268,"ppm","E220930s345.CHR",2022-10-03,1899-12-31 16:00:08,"O2",1.16,3518.9672,174007.3327,"N2O",2.266,104.0863,0.2279,"ppm",3095.76179497174,0,0.3746799557199,192548.573014947
56,"BLANK","BLANK",346,"BLANK","F220930s346.CHR",2022-10-03,1899-12-31 16:05:32,"CH4",1.41,0.3922,2.0143,"ppm","CO2",1.953,117.8944,226.1473,"ppm","E220930s346.CHR",2022-10-03,1899-12-31 16:05:32,"O2",1.16,3307.9974,145352.2734,"N2O",2.27,67.9986,0.0799,"ppm",310.553133784457,0,0.234580557843186,168560.682840845
57,"FRAM","WA10",347,"347g","F220930s347.CHR",2022-10-03,1899-12-31 16:10:56,"CH4",1.41,0.479,2.3897,"ppm","CO2",1.956,184.9036,473.7963,"ppm","E220930s347.CHR",2022-10-03,1899-12-31 16:10:56,"O2",1.16,3528.7328,175447.5513,"N2O",2.27,78.5782,0.1233,"ppm",558.022004469396,0,0.275640484711213,193693.321137386
58,"BLANK","BLANK",348,"BLANK","F220930s348.CHR",2022-10-03,1899-12-31 16:16:20,"CH4",1.416,0.3575,1.8642,"ppm","CO2",1.96,96.133,145.7227,"ppm","E220930s348.CHR",2022-10-03,1899-12-31 16:16:20,"O2",1.166,3077.0922,121989.6429,"N2O",2.276,55.9692,0.0306,"ppm",230.275567869724,0,0.187906100155251,143932.931883634
59,"FRAM","WA101",349,"349g","F220930s349.CHR",2022-10-03,1899-12-31 16:21:45,"CH4",1.42,5.4378,23.8376,"ppm","CO2",1.97,1514.2826,5386.844,"ppm","E220930s349.CHR",2022-10-03,1899-12-31 16:21:45,"O2",1.166,3504.1022,171815.0611,"N2O",2.276,125.655,0.3163,"ppm",5552.58694994758,5.99096189425362,0.458469636501955,190811.898315423
60,"BLANK","BLANK",350,"BLANK","F220930s350.CHR",2022-10-03,1899-12-31 16:27:09,"CH4",1.416,0.3222,1.7115,"ppm","CO2",1.963,96.8718,148.4531,"ppm","E220930s350.CHR",2022-10-03,1899-12-31 16:27:09,"O2",1.166,3005.2956,115710.2601,"N2O",2.276,52.9903,0.0184,"ppm",233.000281028501,0,0.1763498800158,136621.816981633
61,"FRAM","WA102",351,"351g","F220930s351.CHR",2022-10-03,1899-12-31 16:32:34,"CH4",1.41,0.3276,1.7349,"ppm","CO2",1.97,9609.7872,35305.7764,"ppm","E220930s351.CHR",2022-10-03,1899-12-31 16:32:34,"O2",1.166,3257.3338,139666.2642,"N2O",2.27,261.1216,0.8715,"ppm",39465.361132044,0,0.985682886283832,163011.432754987
62,"BLANK","BLANK",352,"BLANK","F220930s352.CHR",2022-10-03,1899-12-31 16:37:58,"CH4",1.41,0.16,1.01,"ppm","CO2",1.956,89.629,121.6855,"ppm","E220930s352.CHR",2022-10-03,1899-12-31 16:37:58,"O2",1.166,2955.4454,111539.9911,"N2O",2.273,50.6544,0.0089,"ppm",206.290810041452,0,0.167288644616745,131642.214786408
63,"BLANK","BLANK",353,"BLANK","F220930s353.CHR",2022-10-03,1899-12-31 16:43:22,"CH4",1.403,0.3688,1.9131,"ppm","CO2",1.95,111.6674,203.1339,"ppm","E220930s353.CHR",2022-10-03,1899-12-31 16:43:22,"O2",1.16,3099.103,123998.2818,"N2O",2.263,57.0682,0.0351,"ppm",287.577365018319,0,0.192169716037601,146207.234371872
64,"BLANK","BLANK",354,"BLANK","F220930s354.CHR",2022-10-03,1899-12-31 16:48:46,"CH4",1.42,0.3225,1.7128,"ppm","CO2",1.963,101.5674,165.8068,"ppm","E220930s354.CHR",2022-10-03,1899-12-31 16:48:46,"O2",1.166,3125.3282,126391.514,"N2O",2.273,55.7258,0.0296,"ppm",250.318942745746,0,0.186961834474659,148937.166716148
65,"FRAM","WA103",355,"355g","F220930s355.CHR",2022-10-03,1899-12-31 16:54:10,"CH4",1.41,25.3666,110.0341,"ppm","CO2",1.95,198.8352,525.284,"ppm","E220930s355.CHR",2022-10-03,1899-12-31 16:54:10,"O2",1.16,3528.8528,175465.2487,"N2O",2.26,75.9672,0.1126,"ppm",609.523901976424,93.4765301752358,0.265506136317408,193707.406753027
66,"BLANK","BLANK",356,"BLANK","F220930s356.CHR",2022-10-03,1899-12-31 16:59:34,"CH4",1.406,0.3535,1.8469,"ppm","CO2",1.946,91.2552,127.6956,"ppm","E220930s356.CHR",2022-10-03,1899-12-31 16:59:34,"O2",1.156,2975.9282,113198.4443,"N2O",2.263,49.7938,0.0053,"ppm",212.28737343482,0,0.163950397830448,133678.677545145
67,"FRAM","WA103*",357,"357g","F220930s357.CHR",2022-10-03,1899-12-31 17:04:59,"CH4",1.416,0.4842,2.4122,"ppm","CO2",1.96,305.7904,920.5633,"ppm","E220930s357.CHR",2022-10-03,1899-12-31 17:04:59,"O2",1.166,3525.331,174945.858,"N2O",2.27,83.7504,0.1445,"ppm",1005.50516221863,0,0.295717695011328,193294.208434326
68,"BLANK","BLANK",358,"BLANK","F220930s358.CHR",2022-10-03,1899-12-31 17:10:24,"CH4",1.406,0.3914,2.0108,"ppm","CO2",1.946,112.7862,207.2687,"ppm","E220930s358.CHR",2022-10-03,1899-12-31 17:10:24,"O2",1.156,3285.2885,142791.8949,"N2O",2.256,63.1798,0.0602,"ppm",291.705140643424,0,0.215881899249655,166063.225455084
70,"BLANK","BLANK",360,"BLANK","F220930s360.CHR",2022-10-03,1899-12-31 17:21:12,"CH4",1.413,0.3002,1.6163,"ppm","CO2",1.96,89.5626,121.4401,"ppm","E220930s360.CHR",2022-10-03,1899-12-31 17:21:12,"O2",1.163,3039.9832,118686.6364,"N2O",2.273,48.7792,0.0012,"ppm",206.045967198252,0,0.160014874157387,140133.563402779
71,"FRAM","WA12",361,"361g","F220930s361.CHR",2022-10-03,1899-12-31 17:26:36,"CH4",1.406,1.1999,5.5078,"ppm","CO2",1.953,13492.4592,49655.1476,"ppm","E220930s361.CHR",2022-10-03,1899-12-31 17:26:36,"O2",1.156,2629.721,87312.4246,"N2O",2.256,339.6852,1.1936,"ppm",57862.0307610254,0,1.29219420121862,101055.745853962
72,"BLANK","BLANK",362,"BLANK","F220930s362.CHR",2022-10-03,1899-12-31 17:32:00,"CH4",0,0,0,"ppm","CO2",1.95,169.6415,417.3914,"ppm","E220930s362.CHR",2022-10-03,1899-12-31 17:32:00,"O2",1.156,3057.6734,120217.5422,"N2O",2.263,57.6464,0.0375,"ppm",501.621980310258,0,0.194412910355384,141939.279789375
73,"Check Standard","CHECK",363,"ChkStd10","F220930s363.CHR",2022-10-03,1899-12-31 17:37:24,"CH4",1.406,0.6577,3.1626,"ppm","CO2",1.95,171.2432,423.3109,"ppm","E220930s363.CHR",2022-10-03,1899-12-31 17:37:24,"O2",1.16,3799.6068,215395.711,"N2O",2.263,96.867,0.1983,"ppm",507.539947810221,0,0.346643886027797,226657.931273499
74,"BLANK","BLANK",364,"BLANK","F220930s364.CHR",2022-10-03,1899-12-31 17:42:48,"CH4",1.416,0.3554,1.8551,"ppm","CO2",1.96,97.8622,152.1133,"ppm","E220930s364.CHR",2022-10-03,1899-12-31 17:42:48,"O2",1.166,3104.2168,124464.9516,"N2O",2.27,57.3181,0.0362,"ppm",236.652979878331,0,0.193139228542155,146737.837935143
75,"FRAM","WA14",365,"365g","F220930s365.CHR",2022-10-03,1899-12-31 17:48:12,"CH4",1.41,2.5782,11.4692,"ppm","CO2",1.963,3082.5352,11182.708,"ppm","E220930s365.CHR",2022-10-03,1899-12-31 17:48:12,"O2",1.16,3459.9285,165300.3789,"N2O",2.263,162.2646,0.4663,"ppm",11652.915200404,0,0.600785553619708,185692.677599324
76,"BLANK","BLANK",366,"BLANK","F220930s366.CHR",2022-10-03,1899-12-31 17:53:37,"CH4",1.42,0.31,1.6587,"ppm","CO2",1.966,106.6663,184.6511,"ppm","E220930s366.CHR",2022-10-03,1899-12-31 17:53:37,"O2",1.17,3268.675,140918.7593,"N2O",2.283,60.2276,0.0481,"ppm",269.127374786719,0,0.204427342877964,164246.538429572
77,"BLANK","BLANK",367,"BLANK","F220930s367.CHR",2022-10-03,1899-12-31 17:59:01,"CH4",1.41,0.3232,1.7158,"ppm","CO2",1.956,94.5172,139.7511,"ppm","E220930s367.CHR",2022-10-03,1899-12-31 17:59:01,"O2",1.16,3085.1486,122724.8456,"N2O",2.273,54.6719,0.0253,"ppm",224.316630837942,0,0.182873310813772,144763.580268031
78,"BLANK","BLANK",368,"BLANK","F220930s368.CHR",2022-10-03,1899-12-31 18:04:27,"CH4",1.42,0.4236,2.1501,"ppm","CO2",1.96,127.8572,262.9673,"ppm","E220930s368.CHR",2022-10-03,1899-12-31 18:04:27,"O2",1.166,3509.6228,172629.2323,"N2O",2.276,76.8646,0.1163,"ppm",347.320281456885,0,0.26898924009784,191456.046274049
79,"FRAM","WA15",369,"369g","F220930s369.CHR",2022-10-03,1899-12-31 18:09:51,"CH4",1.42,0.4788,2.3888,"ppm","CO2",1.976,1945.4756,6980.424,"ppm","E220930s369.CHR",2022-10-03,1899-12-31 18:09:51,"O2",1.17,3579.5564,182942.9524,"N2O",2.28,135.8804,0.3582,"ppm",7207.40560642368,0,0.498207675539373,199700.090348482
80,"BLANK","BLANK",370,"BLANK","F220930s370.CHR",2022-10-03,1899-12-31 18:15:15,"CH4",1.413,0.379,1.9572,"ppm","CO2",1.956,110.1516,197.5319,"ppm","E220930s370.CHR",2022-10-03,1899-12-31 18:15:15,"O2",1.166,3189.27,132603.8771,"N2O",2.273,62.4154,0.0571,"ppm",281.985054070138,0,0.212915946887277,155685.165490771
81,"FRAM","WA5",371,"371g","F220930s371.CHR",2022-10-03,1899-12-31 18:20:39,"CH4",1.413,161.9745,700.8934,"ppm","CO2",1.956,303.594,912.4459,"ppm","E220930s371.CHR",2022-10-03,1899-12-31 18:20:39,"O2",1.16,3545.6312,177939.7062,"N2O",2.27,83.3498,0.1429,"ppm",997.362862441727,696.694322247827,0.294162578358538,195681.378290725
82,"BLANK","BLANK",372,"BLANK","F220930s372.CHR",2022-10-03,1899-12-31 18:26:03,"CH4",1.403,0.334,1.7625,"ppm","CO2",1.946,79.0378,82.5431,"ppm","E220930s372.CHR",2022-10-03,1899-12-31 18:26:03,"O2",1.156,2746.8356,95529.1479,"N2O",2.26,46.1768,0,"ppm",167.242011204495,0,0.149920868633942,111663.599588166
83,"FRAM","WAX1",373,"373g","F220930s373.CHR",2022-10-03,1899-12-31 18:31:28,"CH4",1.41,7.9923,34.8864,"ppm","CO2",1.956,1622.4254,5786.5124,"ppm","E220930s373.CHR",2022-10-03,1899-12-31 18:31:28,"O2",1.16,3497.1941,170796.2631,"N2O",2.26,125.9132,0.3173,"ppm",5966.01252964509,17.19766835018,0.459472940053478,190007.224750997
84,"BLANK","BLANK",374,"BLANK","F220930s374.CHR",2022-10-03,1899-12-31 18:36:52,"CH4",1.403,0.3126,1.67,"ppm","CO2",1.946,88.0248,115.7568,"ppm","E220930s374.CHR",2022-10-03,1899-12-31 18:36:52,"O2",1.156,2966.3023,112419.0535,"N2O",2.26,51.4412,0.0121,"ppm",200.375608527485,0,0.17034068116814,132719.974727082
85,"KALA","ML2",375,"375g","F220930s375.CHR",2022-10-03,1899-12-31 18:42:17,"CH4",1.413,1.0524,4.8698,"ppm","CO2",1.96,1144.6682,4020.8429,"ppm","E220930s375.CHR",2022-10-03,1899-12-31 18:42:17,"O2",1.163,3478.7646,168078.3034,"N2O",2.266,111.9148,0.26,"ppm",4147.66035254784,0,0.405087135924634,187867.953872856
86,"BLANK","BLANK",376,"BLANK","F220930s376.CHR",2022-10-03,1899-12-31 18:47:41,"CH4",1.406,0.307,1.6458,"ppm","CO2",1.95,91.0958,127.1065,"ppm","E220930s376.CHR",2022-10-03,1899-12-31 18:47:41,"O2",1.156,3017.925,116793.9282,"N2O",2.26,51.681,0.0131,"ppm",211.699580030885,0,0.171270888414876,137895.966005416
87,"KALA","MLGP",377,"377g","F220930s377.CHR",2022-10-03,1899-12-31 18:53:05,"CH4",1.406,0.478,2.3854,"ppm","CO2",1.953,563.8604,1874.3245,"ppm","E220930s377.CHR",2022-10-03,1899-12-31 18:53:05,"O2",1.16,3508.2452,172426.0656,"N2O",2.26,91.9276,0.178,"ppm",1965.27825691809,0,0.327464478640654,191295.215817912
